symbol,instrument_token,instrument_token_present,ltp,quote_source,quote_timestamp,received_timestamp,quote_age_seconds_at_baseline,reliable,fallback,synthetic,historical_ohlcv_provider,first_canonical_scan_status,verification_scope,notes
BANKBARODA,1195009,true,247,kite_live,2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,331,true,false,false,yfinance_daily_bars (approved historical provider),NOT_OBSERVED,RTV1H off-session read-only baseline,23/23 direct quote plumbing was verified before this natural-session observation; this row is not first-scan evidence.
BANKINDIA,1214721,true,142.79,kite_live,2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,331,true,false,false,yfinance_daily_bars (approved historical provider),NOT_OBSERVED,RTV1H off-session read-only baseline,23/23 direct quote plumbing was verified before this natural-session observation; this row is not first-scan evidence.
CANBK,2763265,true,129.96,kite_live,2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,331,true,false,false,yfinance_daily_bars (approved historical provider),NOT_OBSERVED,RTV1H off-session read-only baseline,23/23 direct quote plumbing was verified before this natural-session observation; this row is not first-scan evidence.
FEDERALBNK,261889,true,361,kite_live,2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,331,true,false,false,yfinance_daily_bars (approved historical provider),NOT_OBSERVED,RTV1H off-session read-only baseline,23/23 direct quote plumbing was verified before this natural-session observation; this row is not first-scan evidence.
IDFCFIRSTB,2863105,true,86.75,kite_live,2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,331,true,false,false,yfinance_daily_bars (approved historical provider),NOT_OBSERVED,RTV1H off-session read-only baseline,23/23 direct quote plumbing was verified before this natural-session observation; this row is not first-scan evidence.
KTKBANK,2061825,true,328.3,kite_live,2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,331,true,false,false,yfinance_daily_bars (approved historical provider),NOT_OBSERVED,RTV1H off-session read-only baseline,23/23 direct quote plumbing was verified before this natural-session observation; this row is not first-scan evidence.
MAHABANK,2912513,true,80.26,kite_live,2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,331,true,false,false,yfinance_daily_bars (approved historical provider),NOT_OBSERVED,RTV1H off-session read-only baseline,23/23 direct quote plumbing was verified before this natural-session observation; this row is not first-scan evidence.
PNB,2730497,true,116.55,kite_live,2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,331,true,false,false,yfinance_daily_bars (approved historical provider),NOT_OBSERVED,RTV1H off-session read-only baseline,23/23 direct quote plumbing was verified before this natural-session observation; this row is not first-scan evidence.
UNIONBANK,2752769,true,183.45,kite_live,2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,331,true,false,false,yfinance_daily_bars (approved historical provider),NOT_OBSERVED,RTV1H off-session read-only baseline,23/23 direct quote plumbing was verified before this natural-session observation; this row is not first-scan evidence.
COALINDIA,5215745,true,405.2,kite_live,2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,331,true,false,false,yfinance_daily_bars (approved historical provider),NOT_OBSERVED,RTV1H off-session read-only baseline,23/23 direct quote plumbing was verified before this natural-session observation; this row is not first-scan evidence.
GAIL,1207553,true,172,kite_live,2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,331,true,false,false,yfinance_daily_bars (approved historical provider),NOT_OBSERVED,RTV1H off-session read-only baseline,23/23 direct quote plumbing was verified before this natural-session observation; this row is not first-scan evidence.
HUDCO,5331201,true,186.09,kite_live,2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,331,true,false,false,yfinance_daily_bars (approved historical provider),NOT_OBSERVED,RTV1H off-session read-only baseline,23/23 direct quote plumbing was verified before this natural-session observation; this row is not first-scan evidence.
IRCON,1276417,true,124.72,kite_live,2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,331,true,false,false,yfinance_daily_bars (approved historical provider),NOT_OBSERVED,RTV1H off-session read-only baseline,23/23 direct quote plumbing was verified before this natural-session observation; this row is not first-scan evidence.
IRFC,519425,true,86.4,kite_live,2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,331,true,false,false,yfinance_daily_bars (approved historical provider),NOT_OBSERVED,RTV1H off-session read-only baseline,23/23 direct quote plumbing was verified before this natural-session observation; this row is not first-scan evidence.
MRPL,584449,true,176.81,kite_live,2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,331,true,false,false,yfinance_daily_bars (approved historical provider),NOT_OBSERVED,RTV1H off-session read-only baseline,23/23 direct quote plumbing was verified before this natural-session observation; this row is not first-scan evidence.
NBCC,8042241,true,88.88,kite_live,2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,331,true,false,false,yfinance_daily_bars (approved historical provider),NOT_OBSERVED,RTV1H off-session read-only baseline,23/23 direct quote plumbing was verified before this natural-session observation; this row is not first-scan evidence.
NMDC,3924993,true,84.61,kite_live,2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,331,true,false,false,yfinance_daily_bars (approved historical provider),NOT_OBSERVED,RTV1H off-session read-only baseline,23/23 direct quote plumbing was verified before this natural-session observation; this row is not first-scan evidence.
NTPC,2977281,true,340,kite_live,2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,331,true,false,false,yfinance_daily_bars (approved historical provider),NOT_OBSERVED,RTV1H off-session read-only baseline,23/23 direct quote plumbing was verified before this natural-session observation; this row is not first-scan evidence.
PFC,3660545,true,363,kite_live,2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,331,true,false,false,yfinance_daily_bars (approved historical provider),NOT_OBSERVED,RTV1H off-session read-only baseline,23/23 direct quote plumbing was verified before this natural-session observation; this row is not first-scan evidence.
RECLTD,3930881,true,326.65,kite_live,2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,331,true,false,false,yfinance_daily_bars (approved historical provider),NOT_OBSERVED,RTV1H off-session read-only baseline,23/23 direct quote plumbing was verified before this natural-session observation; this row is not first-scan evidence.
RVNL,2445313,true,225.3,kite_live,2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,331,true,false,false,yfinance_daily_bars (approved historical provider),NOT_OBSERVED,RTV1H off-session read-only baseline,23/23 direct quote plumbing was verified before this natural-session observation; this row is not first-scan evidence.
SAIL,758529,true,173.46,kite_live,2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,331,true,false,false,yfinance_daily_bars (approved historical provider),NOT_OBSERVED,RTV1H off-session read-only baseline,23/23 direct quote plumbing was verified before this natural-session observation; this row is not first-scan evidence.
WIPRO,969473,true,180.79,kite_live,2026-08-23T22:10:41Z,2026-08-23T22:10:43.297003Z,331,true,false,false,yfinance_daily_bars (approved historical provider),NOT_OBSERVED,RTV1H off-session read-only baseline,23/23 direct quote plumbing was verified before this natural-session observation; this row is not first-scan evidence.
